,Game,Genre
0,Warcraft: Orcs & Humans,RTS
1,Warcraft II: Tides of Darkness,RTS
2,Diablo,ARPG
3,StarCraft,RTS
4,Warcraft II: Battle.net Edition,RTS
5,Diablo II,ARPG
6,Warcraft III: Reign of Chaos,RTS
7,Warcraft III: The Frozen Throne,RTS
8,World of Warcraft,MMORPG
9,World of Warcraft: The Burning Crusade,MMORPG
10,World of Warcraft: Wrath of the Lich King,MMORPG
11,StarCraft II: Wings of Liberty,RTS
12,World of Warcraft: Cataclysm,MMORPG
13,Diablo III,ARPG
14,World of Warcraft: Mists of Pandaria,MMORPG
15,Hearthstone,CCG
16,World of Warcraft: Warlords of Draenor,MMORPG
17,Heroes of the Storm,MOBA
18,StarCraft II: Legacy of the Void,RTS
19,World of Warcraft: Legion,MMORPG
20,Overwatch,FPS
21,World of Warcraft: Battle for Azeroth,MMORPG
22,Warcraft III: Reforged,RTS
23,World of Warcraft: Shadowlands,MMORPG
24,Diablo IV,ARPG
25,Overwatch 2,FPS
