,Game,Genre
0,Shattered Steel,Action
1,Baldur's Gate,Role-Playing Game
2,Baldur's Gate II: Shadows of Amn,Role-Playing Game
3,Neverwinter Nights,Role-Playing Game
4,Star Wars: Knights of the Old Republic,Role-Playing Game
5,Jade Empire,"Action-Adventure, RPG"
6,Mass Effect,"Action-Adventure, RPG"
7,Sonic Chronicles: The Dark Brotherhood,Role-Playing Game
8,Dragon Age: Origins,"Action-Adventure, RPG"
9,Mass Effect 2,"Action-Adventure, RPG"
10,Dragon Age II,"Action-Adventure, RPG"
11,Star Wars: The Old Republic,MMORPG
12,Mass Effect 3,"Action-Adventure, RPG"
13,Dragon Age: Inquisition,"Action-Adventure, RPG"
14,Mass Effect: Andromeda,"Action-Adventure, RPG"
15,Anthem,"Action-Adventure, RPG"
