,Game,Genre
0,Gnop!,Pong
1,Operation: Desert Storm,Top-down Shooter
2,Pathways into Darkness,First-Person Shooter
3,Marathon,First-Person Shooter
4,Marathon 2: Durandal,First-Person Shooter
5,Marathon Infinity,First-Person Shooter
6,Myth: The Fallen Lords,Real-Time Tactics
7,Myth II: Soulblighter,Real-Time Tactics
8,Oni,Action-Adventure
9,Halo: Combat Evolved,First-Person Shooter
10,Halo 2,First-Person Shooter
11,Halo 3,First-Person Shooter
12,Halo 3: ODST,First-Person Shooter
13,Halo: Reach,First-Person Shooter
14,Destiny,"Action-Adventure, RPG"
15,Destiny 2,"Action-Adventure, RPG"
