,Name,Year_of_Release,Global_Sales
8,Call of Duty: Finest Hour,2004.0,4.5
0,Call of Duty 2,2005.0,2.09
1,Call of Duty 3,2006.0,5.2700000000000005
2,Call of Duty 4: Modern Warfare,2007.0,18.19
11,Call of Duty: Modern Warfare 2,2009.0,24.95
5,Call of Duty: Black Ops,2010.0,29.19
12,Call of Duty: Modern Warfare 3,2011.0,30.59
7,Call of Duty: Black Ops II,2012.0,29.4
9,Call of Duty: Ghosts,2013.0,27.4
4,Call of Duty: Advanced Warfare,2014.0,21.99
6,Call of Duty: Black Ops 3,2015.0,25.68
10,Call of Duty: Infinite Warfare,2016.0,7.02
