,Month-Year,Values
0,2023-03-01,832
1,2023-02-01,774
2,2023-01-01,1057
3,2022-12-01,1076
4,2022-11-01,1095
5,2022-10-01,951
6,2022-09-01,1720
7,2022-08-01,739
8,2022-07-01,2064
9,2022-06-01,783
10,2022-05-01,640
11,2022-04-01,1047
12,2022-03-01,561
13,2022-02-01,952
14,2022-01-01,1456
15,2021-12-01,1228
16,2021-11-01,1120
17,2021-10-01,1582
18,2021-09-01,2304
19,2021-08-01,1358
20,2021-07-01,1764
21,2021-06-01,1646
22,2021-05-01,2398
23,2021-04-01,4830
24,2021-03-01,1692
25,2021-02-01,1567
26,2021-01-01,2933
27,2020-12-01,3035
28,2020-11-01,3387
29,2020-10-01,1769
30,2020-09-01,7159
31,2020-08-01,9193
