,Game,Genre
0,ZZT,Puzzle
1,Jill of the Jungle,Platformer
2,Epic Pinball,Pinball
3,Jazz Jackrabbit,Platformer
4,Tyrian,Shoot 'em up
5,Unreal,First-Person Shooter
6,Unreal Tournament,First-Person Shooter
7,Gears of War,Third-Person Shooter
8,Unreal Tournament 3,First-Person Shooter
9,Gears of War 2,Third-Person Shooter
10,Shadow Complex,Action-Adventure
11,Gears of War 3,Third-Person Shooter
12,Infinity Blade,"Action-Adventure, RPG"
13,Bulletstorm,First-Person Shooter
14,Fortnite,"Battle Royale, Survival"
15,Gears of War 4,Third-Person Shooter
16,Infinity Blade III,"Action-Adventure, RPG"
17,Paragon,MOBA
