,Name,Year_of_Release,Global_Sales
31,FIFA Soccer 96,1995.0,0.16
32,FIFA Soccer 97,1996.0,0.16
41,FIFA: Road to World Cup 98,1997.0,0.73
10,FIFA 2000,1998.0,1.87
13,FIFA 99,1998.0,0.54
26,FIFA Soccer 2003,2002.0,4.16
28,FIFA Soccer 2004,2003.0,0.91
29,FIFA Soccer 2005,2004.0,4.890000000000001
17,FIFA Soccer 06,2005.0,5.13
18,FIFA Soccer 07,2006.0,6.37
19,FIFA Soccer 08,2007.0,9.48
20,FIFA Soccer 09,2008.0,8.66
22,FIFA Soccer 10,2009.0,10.7
23,FIFA Soccer 11,2010.0,12.5
5,FIFA 12,2011.0,13.06
24,FIFA Soccer 13,2012.0,15.96
6,FIFA 14,2013.0,16.48
7,FIFA 15,2014.0,17.34
8,FIFA 16,2015.0,16.3
9,FIFA 17,2016.0,11.469999999999999
