,Month,Value
0,2023-03-01,11052
1,2023-02-01,10634
2,2023-01-01,10912
3,2022-12-01,11599
4,2022-11-01,19676
5,2022-10-01,9655
6,2022-09-01,10368
7,2022-08-01,9083
8,2022-07-01,8241
9,2022-06-01,9538
10,2022-05-01,10416
11,2022-04-01,8117
12,2022-03-01,7844
13,2022-02-01,8946
14,2022-01-01,9347
15,2021-12-01,8928
16,2021-11-01,14456
17,2021-10-01,9912
18,2021-09-01,10425
19,2021-08-01,11617
20,2021-07-01,19594
21,2021-06-01,7490
22,2021-05-01,7569
23,2021-04-01,10740
24,2021-03-01,9309
25,2021-02-01,13798
26,2021-01-01,8978
27,2020-12-01,12141
28,2020-11-01,9423
29,2020-10-01,10769
30,2020-09-01,15098
31,2020-08-01,61829
