,Game,Genre
0,King's Field,Role-Playing Game
1,King's Field II,Role-Playing Game
2,King's Field III,Role-Playing Game
3,Shadow Tower,Role-Playing Game
4,Eternal Ring,Role-Playing Game
5,Evergrace,Role-Playing Game
6,Otogi: Myth of Demons,Action-Adventure
7,Otogi 2: Immortal Warriors,Action-Adventure
8,Armored Core: Nexus,Mech Simulation
9,Armored Core: Nine Breaker,Mech Simulation
10,Armored Core: Last Raven,Mech Simulation
11,Demon's Souls,"Action-Adventure, RPG"
12,Dark Souls,"Action-Adventure, RPG"
13,Dark Souls II,"Action-Adventure, RPG"
14,Bloodborne,"Action-Adventure, RPG"
15,Dark Souls III,"Action-Adventure, RPG"
16,Sekiro: Shadows Die Twice,Action-Adventure
17,Elden Ring,"Action-Adventure, RPG"
