,Date,Event
9,2015-05-01,Ill-Gotten Gains Part 1
10,2015-08-01,Freemode Events Update
11,2015-11-01,Executives and Other Criminals
12,2016-02-01,Lowriders Update
13,2016-05-01,Further Adventures in Finance and Felony
14,2016-11-01,Import/Export
15,2017-02-01,Cunning Stunts: Special Vehicle Circuit
16,2017-05-01,Gunrunning
17,2017-11-01,The Doomsday Heist
18,2018-06-01,After Hours
19,2018-11-01,Arena War
20,2019-06-01,The Diamond Casino & Resort
21,2019-11-01,The Diamond Casino Heist
22,2020-02-01,Open Wheel Races
23,2020-07-01,Los Santos Summer Special
24,2020-11-01,Cayo Perico Heist
