,Game,Genre
0,Crash Bandicoot,Platformer
1,Crash Bandicoot 2: Cortex Strikes Back,Platformer
2,Crash Bandicoot: Warped,Platformer
3,Crash Team Racing,Racing
4,Jak and Daxter: The Precursor Legacy,"Platformer, Action-Adventure"
5,Jak II,"Platformer, Action-Adventure"
6,Jak 3,"Platformer, Action-Adventure"
7,Jak X: Combat Racing,Racing
8,Uncharted: Drake's Fortune,Action-Adventure
9,Uncharted 2: Among Thieves,Action-Adventure
10,Uncharted 3: Drake's Deception,Action-Adventure
11,Uncharted 4: A Thief's End,Action-Adventure
12,Uncharted: The Lost Legacy,Action-Adventure
13,The Last of Us,Action-Adventure
14,The Last of Us Part II,Action-Adventure
