,Game,Genre
0,Grand Theft Auto,Action-Adventure
1,Grand Theft Auto 2,Action-Adventure
2,Grand Theft Auto III,Action-Adventure
3,Grand Theft Auto: Vice City,Action-Adventure
4,Grand Theft Auto: San Andreas,Action-Adventure
5,Grand Theft Auto: Liberty City Stories,Action-Adventure
6,Grand Theft Auto: Vice City Stories,Action-Adventure
7,Grand Theft Auto IV,Action-Adventure
8,Grand Theft Auto: The Lost and Damned,Action-Adventure
9,Grand Theft Auto: The Ballad of Gay Tony,Action-Adventure
10,Grand Theft Auto V,Action-Adventure
11,Red Dead Revolver,Action-Adventure
12,Red Dead Redemption,Action-Adventure
13,Red Dead Redemption 2,Action-Adventure
14,L.A. Noire,Action-Adventure
15,Max Payne,Third-Person Shooter
16,Max Payne 2: The Fall of Max Payne,Third-Person Shooter
17,Max Payne 3,Third-Person Shooter
18,Bully,Action-Adventure
19,Manhunt,"Stealth, Survival Horror"
20,Manhunt 2,"Stealth, Survival Horror"
21,Midnight Club: Street Racing,Racing
22,Midnight Club II,Racing
23,Midnight Club 3: DUB Edition,Racing
24,Midnight Club: Los Angeles,Racing
25,The Warriors,"Action-Adventure, Beat 'em up"
26,State of Emergency,Action
27,Smuggler's Run,Racing
